Layer,Entity Type,Linear (m),Area (m²),Count,Material Tag,Material Key,Partition Ref,Start X,Start Y,End X,End Y,Radius
I-WALL,LINE,0.2,0.0,1,,,,151203.7495278843,459397.3011465492,151203.7495278843,459599.2765700424,
I-WALL,LINE,0.3,0.0,1,,,,151100.7495278843,459599.2765700424,151100.7495278843,459294.3011465491,
I-WALL,LINE,0.16,0.0,1,,,,151203.7495278843,460934.2765700424,151203.7495278843,461094.6876344713,
I-WALL,LINE,0.16,0.0,1,,,,151100.7495278843,461094.6876344713,151100.7495278843,460934.2765700424,
I-WALL,LINE,0.79,0.0,1,,,,148272.2495357151,457580.1876657121,148272.2495357151,456790.1876728818,
I-WALL,LINE,0.1,0.0,1,,,,148272.2495357151,456790.1876728818,148375.2495357151,456790.1876728818,
I-WALL,LINE,0.79,0.0,1,,,,148375.2495357151,456790.1876728818,148375.2495357151,457580.1876657121,
I-WALL,LINE,0.1,0.0,1,,,,148375.2495357151,457580.1876657121,148272.2495357151,457580.1876657121,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
A-DOOR,INSERT,0.0,0.0,1,,,,,,,,
I-WALL,LINE,0.24,0.0,1,,,,144957.2493982442,461985.5308039695,145192.2493985584,461985.5308039695,
I-WALL,LINE,0.15,0.0,1,,,,145102.2493985584,462075.5308039695,144957.2493982442,462075.5308039695,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982442,462075.5308039695,144957.2493982442,461985.5308039695,
I-WALL,LINE,0.6,0.0,1,,,,145192.2493985584,461985.5308039695,145192.2493985584,462589.6876344908,
I-WALL,LINE,0.55,0.0,1,,,,145102.2493985584,462630.1876344907,145102.2493985584,462075.5308039695,
I-WALL,LINE,1.45,0.0,1,,,,145102.2493985584,460313.0307866638,145102.2493985584,458862.030809215,
I-WALL,LINE,1.08,0.0,1,,,,145192.2493985584,458772.030809215,145192.2493985584,459851.3729282676,
I-WALL,LINE,0.45,0.0,1,,,,145192.2493985584,459954.3729282676,145192.2493985584,460403.0307866638,
I-WALL,LINE,0.15,0.0,1,,,,144957.2493982441,460313.0307866638,145102.2493985584,460313.0307866638,
I-WALL,LINE,0.24,0.0,1,,,,145192.2493985584,460403.0307866638,144957.2493982441,460403.0307866638,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,460403.0307866638,144957.2493982441,460313.0307866638,
I-WALL,LINE,0.24,0.0,1,,,,144957.2493982441,458772.030809215,145192.2493985584,458772.030809215,
I-WALL,LINE,0.15,0.0,1,,,,145102.2493985584,458862.030809215,144957.2493982441,458862.030809215,
I-WALL,LINE,0.09,0.0,1,,,,144957.2493982441,458862.030809215,144957.2493982441,458772.030809215,
I-WALL,LINE,0.15,0.0,1,,,,144957.249398244,457133.5308488382,145102.2493985584,457133.5308488382,
I-WALL,LINE,0.24,0.0,1,,,,145192.2493985584,457223.5308488382,144957.249398244,457223.5308488382,
I-WALL,LINE,0.09,0.0,1,,,,144957.249398244,457223.5308488382,144957.249398244,457133.5308488382,
I-WALL,LINE,0.4,0.0,1,,,,145102.2493985584,457133.5308488382,145102.2493985584,456730.1876728817,
I-WALL,LINE,0.4,0.0,1,,,,145192.2493985584,456825.1876730945,145192.2493985584,457223.5308488382,
I-WALL,LINE,1.3,0.0,1,,,,149899.7495303059,462467.6876351882,151204.2495357151,462467.6876351882,
I-WALL,LINE,1.3,0.0,1,,,,151204.2495357151,462400.1876351882,149899.7495303059,462400.1876351882,
I-WALL,LINE,0.2,0.0,1,,,,152016.2495357151,466503.0358041028,151819.2495343763,466503.0358041028,
I-WALL,LINE,0.2,0.0,1,,,,151819.2495343763,466400.0358041028,152016.2495357151,466400.0358041028,
I-WALL,LINE,0.18,0.0,1,,,,150484.2495343763,466503.0358041028,150303.7495330375,466503.0358041028,
I-WALL,LINE,0.28,0.0,1,,,,150200.7495330375,466400.0358041028,150484.2495343763,466400.0358041028,
I-WALL,LINE,0.71,0.0,1,,,,150303.7495330375,466503.0358041028,150303.7495330375,467208.0712533444,
I-WALL,LINE,0.81,0.0,1,,,,150200.7495330375,467208.0712533444,150200.7495330375,466400.0358041028,
I-WALL,LINE,0.14,0.0,1,,,,151102.2495321436,464501.1516030651,150960.24939252,464501.1516030651,
I-WALL,LINE,0.14,0.0,1,,,,150960.24939252,464398.1516030651,151102.2495321436,464398.1516030651,
I-WALL,LINE,0.01,0.0,1,,,,151102.2495321436,464398.1516030651,151102.2495321436,464405.1876367969,
